psu,entercollege,over475,loantakeup
369,1,0,0
438,0,0,0
536.5,1,1,1
390.5,0,0,0
407,0,0,0
390.5,0,0,0
425,0,0,0
338,0,0,0
376,0,0,0
526,1,1,1
434.5,0,0,0
567.5,1,1,1
439.5,0,0,0
425,0,0,0
529.5,0,1,1
521.5,0,1,0
519.5,0,1,1
491,1,1,0
422.5,0,0,0
417.5,0,0,0
540,1,1,1
417.5,0,0,0
517,1,1,0
348.5,0,0,0
461.5,0,0,0
502,0,1,0
546,0,1,1
609,1,1,1
558,0,1,1
565.5,0,1,0
498.5,0,1,1
467.5,0,0,0
574.5,0,1,0
416.5,0,0,0
416.5,0,0,0
503.5,0,1,1
406.5,0,0,0
464.5,0,0,0
302.5,0,0,0
388.5,0,0,0
395.5,0,0,0
375.5,1,0,0
364,0,0,0
390.5,0,0,0
418,0,0,0
490.5,1,1,1
368,0,0,0
435.5,0,0,0
478.5,0,1,1
346.5,0,0,0
379.5,0,0,0
476,0,1,1
385,0,0,0
339.5,0,0,0
323,0,0,0
376,0,0,0
372,0,0,0
417.5,0,0,0
304.5,0,0,0
533.5,1,1,1
326,1,0,0
494,1,1,1
480.5,0,1,1
429,0,0,0
401.5,0,0,0
435,0,0,0
399.5,0,0,0
379.5,0,0,0
387,0,0,0
423,0,0,0
525,1,1,1
409.5,0,0,0
516.5,0,1,1
529,1,1,0
626,1,1,1
407,1,0,0
520,0,1,0
562.5,0,1,1
467,0,0,0
512,0,1,1
485,0,1,1
501.5,0,1,1
493.5,0,1,0
424,0,0,0
414.5,0,0,0
394,0,0,0
366.5,0,0,0
513.5,1,1,1
489,0,1,1
325,0,0,0
437.5,0,0,0
469.5,1,0,0
379,0,0,0
321.5,0,0,0
531.5,0,1,1
464.5,0,0,0
442.5,0,0,0
484.5,1,1,1
392,0,0,0
405,0,0,0
436,0,0,0
358.5,0,0,0
432.5,0,0,0
365.5,0,0,0
364,0,0,0
320.5,0,0,0
455,0,0,0
688.5,1,1,1
306,0,0,0
433,0,0,0
326,0,0,0
438.5,1,0,0
618,1,1,1
588.5,1,1,1
453.5,0,0,0
386.5,0,0,0
414.5,0,0,0
552.5,1,1,1
492.5,0,1,1
339,0,0,0
462.5,0,0,0
419,1,0,0
341,0,0,0
426,0,0,0
537,0,1,1
488,0,1,1
615,1,1,1
492.5,0,1,1
374,0,0,0
521.5,1,1,0
591,1,1,1
484,0,1,1
358,1,0,0
608.5,1,1,1
470.5,0,0,0
476,1,1,1
448,0,0,0
437.5,0,0,0
454.5,0,0,0
352.5,0,0,0
311,0,0,0
371.5,0,0,0
308,0,0,0
438,0,0,0
621.5,1,1,1
434,0,0,0
451.5,0,0,0
417.5,0,0,0
568,1,1,1
521.5,0,1,0
325.5,0,0,0
372,0,0,0
608.5,1,1,1
406.5,0,0,0
431.5,0,0,0
496.5,1,1,1
396,0,0,0
379,0,0,0
398.5,1,0,0
445.5,0,0,0
529.5,1,1,1
530.5,0,1,1
463.5,0,0,0
394,0,0,0
519.5,1,1,0
486.5,1,1,1
519,0,1,1
492.5,0,1,1
320.5,0,0,0
327.5,0,0,0
516.5,1,1,1
452.5,0,0,0
380.5,0,0,0
392,0,0,0
375,0,0,0
390.5,0,0,0
562.5,1,1,1
472,0,0,0
452.5,0,0,0
549,1,1,1
369.5,0,0,0
497.5,1,1,1
584.5,1,1,1
446,0,0,0
317.5,0,0,0
570.5,1,1,1
458,0,0,0
386.5,0,0,0
330.5,0,0,0
469,1,0,0
572.5,0,1,1
379.5,0,0,0
354.5,0,0,0
434.5,0,0,0
414,0,0,0
386.5,0,0,0
386.5,0,0,0
602.5,1,1,1
500,1,1,1
536.5,0,1,1
500,1,1,0
616.5,1,1,0
511,1,1,0
507.5,1,1,1
416.5,0,0,0
499,1,1,1
443.5,1,0,0
417.5,0,0,0
479,1,1,1
459,0,0,0
512,1,1,1
648,1,1,1
509.5,0,1,1
520,1,1,1
464.5,1,0,0
677.5,1,1,1
375,0,0,0
406.5,0,0,0
551.5,0,1,1
389,0,0,0
509.5,1,1,1
541.5,0,1,1
363,0,0,0
640.5,1,1,0
394.5,0,0,0
554.5,1,1,1
436.5,0,0,0
410,0,0,0
371.5,0,0,0
485,1,1,0
458,0,0,0
375,0,0,0
396,0,0,0
390.5,0,0,0
360,0,0,0
446.5,0,0,0
531,0,1,0
417.5,0,0,0
302.5,0,0,0
375,0,0,0
428.5,0,0,0
607.5,1,1,1
386.5,0,0,0
413.5,0,0,0
376,0,0,0
382,0,0,0
417.5,0,0,0
464.5,0,0,0
302.5,0,0,0
524,1,1,1
571.5,0,1,1
516,1,1,0
560.5,1,1,1
636,1,1,1
534,1,1,0
360.5,0,0,0
574,1,1,1
506.5,1,1,1
598,1,1,0
452.5,0,0,0
406,0,0,0
405.5,0,0,0
401.5,0,0,0
399,0,0,0
359.5,0,0,0
547.5,0,1,1
410,0,0,0
410,0,0,0
392,0,0,0
525.5,0,1,0
423.5,1,0,0
346,0,0,0
345,0,0,0
348,0,0,0
391.5,0,0,0
594,1,1,0
431.5,0,0,0
419.5,0,0,0
409.5,0,0,0
569,1,1,1
417,0,0,0
415,0,0,0
416,0,0,0
514,0,1,1
320,0,0,0
514,0,1,1
352.5,0,0,0
390.5,0,0,0
413.5,0,0,0
421.5,0,0,0
425.5,0,0,0
406.5,0,0,0
417,0,0,0
592.5,1,1,1
418,0,0,0
379.5,0,0,0
431,0,0,0
324,0,0,0
387,0,0,0
479,0,1,0
439.5,0,0,0
332,0,0,0
441,0,0,0
522,1,1,1
462.5,0,0,0
439.5,0,0,0
409.5,0,0,0
319,0,0,0
508.5,0,1,1
366.5,1,0,0
474,0,0,0
434.5,0,0,0
370.5,0,0,0
320.5,0,0,0
360.5,0,0,0
569.5,1,1,0
355,0,0,0
322,0,0,0
493,1,1,1
515.5,0,1,1
368.5,1,0,0
409.5,0,0,0
317,0,0,0
448,0,0,0
462.5,0,0,0
371,0,0,0
381.5,0,0,0
313,0,0,0
467.5,0,0,0
426,0,0,0
317,0,0,0
348,0,0,0
378,0,0,0
575,1,1,1
559.5,1,1,0
483,0,1,0
322,0,0,0
409.5,0,0,0
424,0,0,0
382,0,0,0
389.5,0,0,0
442.5,0,0,0
414,0,0,0
488.5,1,1,1
390.5,0,0,0
348,0,0,0
455,0,0,0
460.5,0,0,0
402,0,0,0
420,0,0,0
412.5,0,0,0
492.5,1,1,1
365.5,0,0,0
444,0,0,0
325.5,0,0,0
375,0,0,0
547,1,1,1
499.5,0,1,1
487,0,1,1
347.5,0,0,0
405,1,0,0
360,0,0,0
510,0,1,0
444,0,0,0
386.5,0,0,0
404,0,0,0
357,0,0,0
